start_date_time,ProfileID,actual_points_entered
2/23/21 9:00 PM,34543,69.7
3/2/21 6:00 PM,32855,51.5
3/2/21 6:00 PM,33706,90.9
3/2/21 6:00 PM,33712,93.9
3/2/21 6:00 PM,33727,93.9
3/2/21 6:00 PM,34181,100
3/2/21 6:00 PM,34470,63.6
3/2/21 6:00 PM,34487,54.5
3/2/21 6:00 PM,34490,87.9
3/2/21 6:00 PM,34491,63.6
3/2/21 6:00 PM,34514,84.8
3/2/21 6:00 PM,34528,90.9
3/2/21 6:00 PM,34616,63.6
3/2/21 6:00 PM,34618,87.9
3/2/21 6:00 PM,34691,75.8
3/2/21 6:00 PM,34701,90.9
3/2/21 6:00 PM,34842,75.8
3/2/21 6:00 PM,34949,72.7
3/2/21 6:00 PM,35104,97
3/2/21 6:00 PM,35195,97
3/2/21 6:00 PM,35254,45.5
3/2/21 6:00 PM,35263,60.6
3/2/21 6:00 PM,35280,100
3/2/21 6:00 PM,35416,90.9
3/2/21 6:00 PM,35446,45.5
3/2/21 6:00 PM,35459,48.5
3/2/21 6:00 PM,35464,57.6
3/2/21 6:00 PM,35466,93.9
3/2/21 6:00 PM,35479,81.8
3/2/21 6:00 PM,35481,90.9
3/2/21 6:00 PM,35560,90.9
3/2/21 6:00 PM,35580,84.8
3/2/21 6:00 PM,35636,93.9
3/2/21 6:00 PM,35645,97
3/2/21 6:00 PM,35693,87.9
3/2/21 6:00 PM,35703,81.8
3/2/21 6:00 PM,35937,66.7
3/2/21 6:00 PM,35938,54.5
3/2/21 6:00 PM,35960,72.7
3/2/21 6:00 PM,36016,69.7
3/2/21 6:00 PM,36031,78.8
3/2/21 6:00 PM,36048,87.9
3/2/21 6:00 PM,36057,84.8
3/2/21 6:00 PM,36081,100
3/2/21 6:00 PM,36094,78.8
3/2/21 6:00 PM,36095,81.8
3/2/21 6:00 PM,36096,100
3/2/21 6:00 PM,36105,84.8
3/2/21 6:00 PM,36107,81.8
3/2/21 6:00 PM,36159,100
3/2/21 6:00 PM,36176,72.7
3/2/21 6:00 PM,36260,87.9
3/2/21 6:00 PM,36273,90.9
3/2/21 9:00 PM,36250,63.6
3/3/21 6:00 AM,26302,60.6
3/3/21 6:00 AM,26474,81.8
3/3/21 6:00 AM,33079,100
3/3/21 6:00 AM,33402,0
3/3/21 6:00 AM,33505,78.8
3/3/21 6:00 AM,33975,90.9
3/3/21 6:00 AM,34026,51.5
3/3/21 6:00 AM,34074,100
3/3/21 6:00 AM,34424,75.8
3/3/21 6:00 AM,34443,87.9
3/3/21 6:00 AM,34535,97
3/3/21 6:00 AM,35003,100
3/3/21 6:00 AM,35181,84.8
3/3/21 6:00 AM,35224,97
3/3/21 6:00 AM,35253,97
3/3/21 6:00 AM,35257,97
3/3/21 6:00 AM,35267,100
3/3/21 6:00 AM,35412,90.9
3/3/21 6:00 AM,35418,93.9
3/3/21 6:00 AM,35421,78.8
3/3/21 6:00 AM,35432,100
3/3/21 6:00 AM,35437,78.8
3/3/21 6:00 AM,35561,87.9
3/3/21 6:00 AM,35571,84.8
3/3/21 6:00 AM,35586,87.9
3/3/21 6:00 AM,35602,87.9
3/3/21 6:00 AM,35615,69.7
3/3/21 6:00 AM,35629,78.8
3/3/21 6:00 AM,35634,93.9
3/3/21 6:00 AM,35640,93.9
3/3/21 6:00 AM,35651,69.7
3/3/21 6:00 AM,35669,84.8
3/3/21 6:00 AM,35672,78.8
3/3/21 6:00 AM,35673,100
3/3/21 6:00 AM,35683,81.8
