Profile ID,Exam Score,Prediction (first submitted answer),Prediction (last submitted answer),Number of Practice Exams Survey Answer,Delayed Feedback Format?,Number of Practice Questions Done,Number of Practice Questions Done Before Survey,Time of 20th submission (hours before exam),Practice Score (first submission),Practice Score (last submission)
35236,77.1,100.0,100.0,NULL,1,22,0,-0.15,77.27272727272727,81.81818181818183
36384,88.6,90.0,90.0,2,0,94,0,-4.25,23.404255319148938,100.0
35234,91.4,75.0,65.0,2,1,46,0,-4.466666666666667,71.73913043478261,76.08695652173914
35235,94.3,100.0,100.0,4,1,88,0,-6.783333333333333,73.86363636363636,73.86363636363636
35232,77.1,50.0,50.0,0,NULL,0.0,0.0,NULL,NULL,NULL
35233,42.9,60.0,60.0,0,NULL,0.0,0.0,NULL,NULL,NULL
35231,60,100.0,100.0,2,NULL,0.0,0.0,NULL,NULL,NULL
36340,94.3,100.0,100.0,4,1,24,0,-26.333333333333332,75.0,79.16666666666666
33736,57.1,84.0,84.0,1,NULL,0.0,0.0,NULL,NULL,NULL
33731,80,90.0,90.0,0,NULL,0.0,0.0,NULL,NULL,NULL
26474,31.4,NULL,NULL,NULL,NULL,0.0,0.0,NULL,NULL,NULL
34717,88.6,80.0,80.0,3,1,94,30,-99.45,60.63829787234043,67.02127659574468
35784,91.4,85.0,85.0,0,1,46,0,-1.6833333333333333,73.91304347826086,73.91304347826086
34715,54.3,70.0,70.0,0,0,16,0,NULL,56.25,81.25
35782,74.3,80.0,80.0,1,0,0,0,NULL,NULL,NULL
35783,51.4,100.0,100.0,2,0,94,0,-22.783333333333335,53.191489361702125,100.0
34710,82.9,85.0,85.0,0,NULL,0.0,0.0,NULL,NULL,NULL
35781,51.4,100.0,100.0,2,0,30,0,-3.05,50.0,100.0
35621,62.9,65.0,65.0,2,NULL,0.0,0.0,NULL,NULL,NULL
35620,100,91.0,91.0,2,NULL,0.0,0.0,NULL,NULL,NULL
35623,80,90.0,90.0,2,0,3,0,NULL,0.0,100.0
35622,88.6,85.0,85.0,3,1,28,0,-3.2333333333333334,53.57142857142857,64.28571428571429
35625,62.9,85.0,85.0,4,1,61,16,-20.516666666666666,24.59016393442623,22.950819672131146
35624,88.6,94.0,90.0,4,0,53,0,-18.516666666666666,54.71698113207547,100.0
35627,51.4,NULL,NULL,NULL,0,55,0,-4.65,32.72727272727273,96.36363636363636
34719,74.3,80.0,80.0,4,0,69,0,-5.933333333333334,78.26086956521739,100.0
36092,71.4,100.0,100.0,4,1,54,37,-51.46666666666667,55.55555555555556,55.55555555555556
36066,68.6,100.0,100.0,1,0,67,0,-18.016666666666666,67.16417910447761,100.0
36067,88.6,100.0,100.0,4,0,94,94,-142.58333333333334,63.829787234042556,100.0
36064,77.1,80.0,80.0,0,0,49,0,-9.35,73.46938775510205,100.0
36065,71.4,100.0,100.0,0,1,24,0,-4.55,75.0,79.16666666666666
36062,97.1,100.0,100.0,1,NULL,0.0,0.0,NULL,NULL,NULL
35678,60,70.0,70.0,3,0,31,14,-3.0,58.06451612903226,100.0
36060,88.6,100.0,100.0,0,1,94,0,-20.133333333333333,70.2127659574468,75.53191489361703
36101,74.3,100.0,100.0,0,1,56,0,-8.816666666666666,73.21428571428571,75.0
36100,80,NULL,NULL,NULL,NULL,0.0,0.0,NULL,NULL,NULL
36103,25.7,80.0,80.0,1,1,8,0,NULL,50.0,50.0
35679,74.3,100.0,100.0,2,0,31,8,-5.983333333333333,80.64516129032258,100.0
36105,68.6,100.0,100.0,0,1,44,0,-46.233333333333334,63.63636363636363,61.36363636363637
36104,68.6,100.0,100.0,0,NULL,0.0,0.0,NULL,NULL,NULL
36068,48.6,60.0,60.0,2,1,24,0,-1.75,37.5,33.33333333333333
36069,54.3,100.0,90.0,0,0,27,0,-23.433333333333334,55.55555555555556,100.0
30190,65.7,100.0,100.0,1,0,22,0,-3.1166666666666667,68.18181818181817,100.0
30197,57.1,40.0,40.0,4,0,94,0,-49.03333333333333,54.25531914893617,100.0
35978,57.1,80.0,80.0,1,NULL,0.0,0.0,NULL,NULL,NULL
33553,88.6,95.0,100.0,1,0,70,24,-50.36666666666667,88.57142857142857,90.0
35136,54.3,70.0,70.0,1,1,32,0,-4.1,62.5,62.5
36282,40,70.0,70.0,3,0,40,0,-126.21666666666667,42.5,70.0
35639,85.7,100.0,100.0,4,0,24,0,-3.1333333333333333,62.5,100.0
35438,77.1,92.0,92.0,1,1,94,24,-170.48333333333332,72.3404255319149,75.53191489361703
35439,48.6,100.0,80.0,1,1,48,24,-27.833333333333332,64.58333333333334,68.75
35434,51.4,85.0,100.0,4,0,92,0,-44.016666666666666,63.04347826086957,100.0
35435,85.7,70.0,80.0,4,0,94,0,-23.25,79.7872340425532,100.0
35436,60,80.0,90.0,4,0,94,94,-145.68333333333334,53.191489361702125,100.0
35437,68.6,90.0,90.0,3,1,60,48,-67.25,75.0,78.33333333333333
35430,74.3,95.0,95.0,4,0,94,46,-125.43333333333334,76.59574468085107,88.29787234042553
35431,60,100.0,100.0,3,0,70,24,-48.4,65.71428571428571,100.0
35432,94.3,95.0,95.0,3,1,94,70,-179.85,86.17021276595744,90.42553191489363
35433,97.1,100.0,100.0,4,0,94,66,-73.03333333333333,82.97872340425532,100.0
35629,71.4,NULL,NULL,NULL,1,0,0,NULL,NULL,NULL
35628,74.3,80.0,80.0,3,1,31,0,-26.0,45.16129032258064,41.935483870967744
29457,28.6,NULL,NULL,NULL,1,13,0,NULL,38.46153846153847,38.46153846153847
36237,37.1,100.0,100.0,1,0,25,0,-1.8666666666666667,48.0,100.0
35649,71.4,70.0,70.0,4,0,94,3,-177.46666666666667,59.57446808510638,100.0
36025,82.9,100.0,100.0,4,0,9,0,NULL,44.44444444444444,100.0
33636,94.3,90.0,90.0,3,0,94,24,-54.56666666666667,88.29787234042553,100.0
33637,45.7,NULL,NULL,NULL,NULL,0.0,0.0,NULL,NULL,NULL
33631,65.7,80.0,80.0,3,0,94,69,-115.96666666666667,69.14893617021278,98.93617021276596
33632,48.6,75.0,75.0,3,1,94,41,-53.4,52.12765957446809,52.12765957446809
36293,94.3,95.0,95.0,0,1,0,0,NULL,NULL,NULL
36285,77.1,100.0,100.0,0,NULL,0.0,0.0,NULL,NULL,NULL
33639,45.7,NULL,NULL,NULL,NULL,0.0,0.0,NULL,NULL,NULL
35269,62.9,100.0,100.0,3,1,30,0,-1.0666666666666667,50.0,53.333333333333336
34439,48.6,50.0,50.0,1,0,53,24,-70.01666666666667,52.83018867924528,64.15094339622641
35780,42.9,70.0,70.0,3,0,94,0,3.8333333333333335,22.340425531914892,100.0
36251,80,70.0,70.0,0,1,12,0,NULL,58.333333333333336,58.333333333333336
36236,80,100.0,100.0,4,1,94,48,-52.05,84.04255319148936,86.17021276595744
36348,71.4,85.0,85.0,2,NULL,0.0,0.0,NULL,NULL,NULL
35612,94.3,95.0,95.0,3,0,94,0,-8.1,72.3404255319149,94.68085106382979
36202,85.7,100.0,100.0,2,1,30,30,-47.38333333333333,76.66666666666667,86.66666666666667
36200,80,75.0,75.0,1,0,46,14,-26.05,58.69565217391305,100.0
35613,85.7,90.0,90.0,0,NULL,0.0,0.0,NULL,NULL,NULL
36206,94.3,99.0,99.0,4,0,94,0,-107.05,77.6595744680851,100.0
36207,65.7,85.0,85.0,1,0,87,0,-6.316666666666666,60.91954022988506,98.85057471264368
35999,57.1,80.0,80.0,1,0,33,0,-21.783333333333335,45.45454545454545,93.93939393939394
35998,57.1,100.0,80.0,1,0,22,0,-4.083333333333333,54.54545454545454,100.0
35997,82.9,NULL,NULL,NULL,0,30,0,-5.633333333333334,70.0,100.0
35995,68.6,85.0,85.0,2,0,19,0,NULL,68.42105263157895,100.0
35994,68.6,90.0,100.0,4,0,94,0,-66.6,50.0,100.0
35993,54.3,75.0,75.0,0,NULL,0.0,0.0,NULL,NULL,NULL
35992,74.3,100.0,100.0,1,0,27,0,-5.466666666666667,59.25925925925925,100.0
35990,48.6,80.0,80.0,1,NULL,0.0,0.0,NULL,NULL,NULL
36156,77.1,90.0,90.0,0,1,78,0,-6.516666666666667,70.51282051282051,71.7948717948718
36157,68.6,NULL,NULL,NULL,0,28,0,-4.566666666666666,60.71428571428571,64.28571428571429
36268,88.6,80.0,80.0,4,0,70,24,-50.516666666666666,80.0,100.0
36154,77.1,100.0,100.0,2,0,25,0,-5.766666666666667,88.0,88.0
36342,71.4,67.0,67.0,3,0,62,59,-31.983333333333334,64.51612903225806,98.38709677419355
35593,45.7,NULL,NULL,NULL,NULL,0.0,0.0,NULL,NULL,NULL
34981,60,50.0,65.0,3,1,94,54,-95.25,54.25531914893617,56.38297872340425
35788,60,100.0,75.0,3,1,94,0,-16.966666666666665,50.0,53.191489361702125
35619,60,100.0,70.0,2,1,38,24,-65.26666666666667,31.57894736842105,34.21052631578947
36152,94.3,95.0,95.0,2,0,46,46,-98.03333333333333,76.08695652173914,76.08695652173914
