Profile ID,Exam Score,Prediction (first submitted answer),Prediction (last submitted answer),Number of Practice Exams Survey Answer,Delayed Feedback Format?,Number of Practice Questions Done,Number of Practice Questions Done Before Survey,Time of 20th submission (hours before exam)
35236,100,NULL,NULL,NULL,1,10,0,NULL
36384,93.7,94.0,94.0,2,0,93,2,-6.633333333333334
35234,96.9,45.0,65.0,1,1,92,0,-19.816666666666666
35235,100,100.0,100.0,4,1,25,0,-2.6
35232,0,NULL,NULL,NULL,NULL,0.0,0.0,NULL
35233,31.3,60.0,60.0,0,NULL,0.0,0.0,NULL
35231,90.6,80.0,80.0,0,NULL,0.0,0.0,NULL
36340,100,100.0,95.0,2,1,21,10,-25.666666666666668
33736,68.7,60.0,60.0,0,NULL,0.0,0.0,NULL
33731,71.9,80.0,80.0,0,0,44,0,429.85
26474,50,NULL,NULL,0,NULL,0.0,0.0,NULL
34717,90.6,75.0,75.0,4,1,91,81,-242.48333333333332
35784,100,90.0,90.0,0,1,53,0,-3.1333333333333333
34715,43.7,60.0,60.0,2,0,6,0,NULL
36194,71.9,50.0,50.0,2,0,0,0,NULL
35783,78.1,100.0,100.0,4,0,93,0,-24.6
34710,46.9,85.0,85.0,0,1,21,0,-1.2833333333333334
35781,53.1,100.0,100.0,2,0,14,0,NULL
35621,71.9,79.0,79.0,2,0,4,0,NULL
35620,100,90.0,90.0,2,NULL,0.0,0.0,NULL
35623,90.6,90.0,90.0,2,0,29,0,0.5
35622,84.4,80.0,80.0,2,1,31,16,-24.733333333333334
35625,96.9,80.0,80.0,4,1,93,70,-74.0
35624,87.5,93.0,93.0,4,0,79,59,-142.56666666666666
35627,78.1,NULL,NULL,NULL,0,93,0,-13.833333333333334
34418,NULL,NULL,NULL,NULL,NULL,0.0,0.0,NULL
36094,87.5,100.0,100.0,2,0,47,23,-63.333333333333336
36092,81.2,65.0,65.0,1,1,3,0,NULL
36066,78.1,78.0,78.0,1,0,48,0,-24.35
36067,90.6,100.0,100.0,4,0,93,93,-115.6
36064,84.4,70.0,70.0,0,0,37,0,-2.35
36065,87.5,NULL,NULL,NULL,1,15,0,NULL
36062,87.5,100.0,100.0,1,NULL,0.0,0.0,NULL
35678,46.9,80.0,80.0,1,0,16,0,NULL
36060,93.7,100.0,100.0,0,1,93,0,-17.133333333333333
36061,NULL,NULL,NULL,NULL,NULL,0.0,0.0,NULL
36101,93.7,100.0,100.0,2,1,53,24,-22.733333333333334
36100,59.4,90.0,90.0,2,NULL,0.0,0.0,NULL
36103,62.5,60.0,60.0,2,1,19,19,NULL
35679,93.7,100.0,90.0,2,0,35,6,-22.216666666666665
36105,87.5,90.0,90.0,0,1,38,0,-23.616666666666667
36104,81.2,75.0,75.0,0,NULL,0.0,0.0,NULL
36107,43.7,60.0,60.0,1,1,58,23,-186.01666666666668
36069,81.2,90.0,100.0,2,0,70,0,-26.733333333333334
30190,59.4,100.0,100.0,2,0,14,0,NULL
30197,78.1,40.0,40.0,0,0,93,3,-73.51666666666667
35978,87.5,70.0,70.0,1,1,27,23,-47.65
33553,93.7,100.0,100.0,1,0,44,23,-26.466666666666665
35136,84.4,90.0,90.0,0,1,47,7,-19.683333333333334
36282,46.9,35.0,35.0,2,0,13,0,NULL
35639,90.6,90.0,90.0,4,0,13,0,NULL
35438,87.5,93.0,93.0,2,1,93,23,-169.53333333333333
35439,81.2,80.0,80.0,0,1,46,5,-20.666666666666668
28538,NULL,NULL,NULL,NULL,NULL,0.0,0.0,NULL
35434,71.9,75.0,75.0,3,0,6,0,NULL
35435,96.9,70.0,70.0,3,0,93,0,-27.3
35436,68.7,100.0,90.0,4,0,93,69,-194.11666666666667
35437,84.4,80.0,80.0,3,1,70,46,-85.28333333333333
35430,84.4,95.0,95.0,4,0,93,70,-75.48333333333333
35431,62.5,100.0,100.0,1,0,47,10,-5.816666666666666
35432,87.5,96.0,96.0,3,1,70,68,-147.85
35433,100,100.0,100.0,4,0,93,93,-69.16666666666667
35786,90.6,95.0,90.0,0,0,14,3,NULL
35628,62.5,80.0,80.0,4,1,31,17,-21.55
29457,56.2,80.0,80.0,2,1,20,0,-1.0333333333333334
36286,62.5,100.0,100.0,1,1,6,6,NULL
36237,34.4,100.0,100.0,1,0,5,0,NULL
36025,84.4,50.0,100.0,4,0,47,0,-3.966666666666667
33636,96.9,90.0,90.0,2,0,93,53,-45.96666666666667
33637,62.5,80.0,80.0,1,1,11,0,NULL
33631,84.4,1.0,70.0,3,0,93,70,-145.1
33632,71.9,60.0,60.0,3,1,93,10,-33.71666666666667
36293,84.4,90.0,90.0,1,1,93,23,-24.15
36285,84.4,100.0,100.0,3,NULL,0.0,0.0,NULL
33639,0,NULL,NULL,NULL,NULL,0.0,0.0,NULL
35610,78.1,70.0,70.0,4,1,0,0,NULL
34439,56.2,0.0,40.0,2,0,76,23,-30.1
35780,50,70.0,70.0,3,0,23,0,-1.25
36251,96.9,NULL,NULL,NULL,1,26,0,-1.0166666666666666
36236,100,100.0,100.0,4,1,93,86,-79.16666666666667
36348,100,85.0,85.0,2,NULL,0.0,0.0,NULL
31273,NULL,NULL,NULL,NULL,NULL,0.0,0.0,NULL
36202,84.4,100.0,100.0,2,1,45,45,-94.28333333333333
36203,NULL,NULL,NULL,NULL,NULL,0.0,0.0,NULL
36200,87.5,78.0,78.0,2,0,21,0,-0.9666666666666667
35613,96.9,85.0,85.0,0,0,16,0,NULL
36206,100,100.0,100.0,4,0,93,93,-115.35
36207,65.6,85.0,85.0,4,0,93,93,-49.1
35999,81.2,70.0,70.0,2,0,93,0,-49.3
35998,71.9,90.0,90.0,2,0,53,47,-70.63333333333334
35997,68.7,50.0,50.0,0,0,27,0,-3.816666666666667
35996,NULL,NULL,NULL,NULL,NULL,0.0,0.0,NULL
35995,62.5,75.0,75.0,2,0,24,0,-2.716666666666667
35994,100,100.0,100.0,4,0,62,0,-95.85
35993,40.6,50.0,50.0,1,1,0,0,NULL
35992,100,85.0,85.0,2,0,23,0,-6.283333333333333
35990,93.7,80.0,80.0,1,NULL,0.0,0.0,NULL
36156,81.2,85.0,85.0,0,1,14,0,NULL
35651,46.9,100.0,100.0,2,1,70,0,417.6
35585,NULL,NULL,NULL,NULL,NULL,0.0,0.0,NULL
36268,87.5,NULL,NULL,NULL,0,74,0,-52.75
35901,59.4,5.0,5.0,0,0,13,0,NULL
35586,96.9,100.0,100.0,1,0,0,0,NULL
36175,90.6,NULL,NULL,NULL,0,23,0,-0.16666666666666666
36342,78.1,73.0,73.0,3,0,68,68,-66.86666666666666
35593,59.4,NULL,NULL,NULL,1,7,0,NULL
34981,90.6,70.0,70.0,4,1,41,0,-24.233333333333334
35587,84.4,100.0,100.0,3,1,57,0,-21.6
35788,78.1,70.0,70.0,4,1,93,0,-18.066666666666666
35619,68.7,60.0,60.0,2,1,22,0,-1.3666666666666667
36152,100,95.0,90.0,1,0,23,23,-76.53333333333333
34719,87.5,70.0,70.0,0,0,26,0,-0.3333333333333333
34322,78.1,85.0,85.0,1,NULL,0.0,0.0,NULL
36153,90.6,85.0,85.0,0,1,91,0,-30.5
34507,87.5,85.0,85.0,2,1,25,0,-21.266666666666666
34506,EX,70.0,70.0,2,NULL,0.0,0.0,NULL
35195,90.6,100.0,100.0,4,1,93,76,-115.33333333333333
34504,37.5,100.0,100.0,1,0,10,0,NULL
34503,81.2,NULL,NULL,NULL,NULL,0.0,0.0,NULL
34502,75,55.0,55.0,1,1,70,7,-53.63333333333333
35728,84.4,85.0,85.0,4,1,67,0,-24.583333333333332
36151,96.9,90.0,90.0,0,NULL,0.0,0.0,NULL
35053,84.4,100.0,100.0,4,1,74,0,-3.216666666666667
34509,100,90.0,90.0,1,1,23,5,-5.433333333333334
34508,96.9,70.0,70.0,1,NULL,0.0,0.0,NULL
35267,100,100.0,100.0,4,0,93,46,-215.73333333333332
34458,75,80.0,100.0,3,0,93,0,-3.0833333333333335
34481,84.4,100.0,70.0,4,1,15,0,NULL
35900,100,100.0,100.0,0,1,22,0,-0.16666666666666666
36255,78.1,100.0,0.0,1,0,24,10,-0.48333333333333334
39,NULL,NULL,NULL,NULL,NULL,0.0,0.0,NULL
35904,90.6,90.0,90.0,1,1,24,0,-2.9166666666666665
35905,46.9,80.0,80.0,1,0,16,0,NULL
35906,75,80.0,80.0,3,1,93,0,-31.683333333333334
36339,87.5,100.0,100.0,0,0,56,0,-9.516666666666667
35908,87.5,0.0,80.0,0,NULL,0.0,0.0,NULL
35104,93.7,90.0,90.0,0,1,17,0,NULL
35812,84.4,90.0,90.0,2,1,40,5,-9.466666666666667
35924,62.5,80.0,80.0,3,0,0,0,NULL
36330,62.5,70.0,70.0,2,1,43,0,-6.266666666666667
34,NULL,NULL,NULL,NULL,0,0,0,NULL
34189,31.2,100.0,100.0,2,NULL,0.0,0.0,NULL
34026,NULL,NULL,NULL,NULL,NULL,0.0,0.0,NULL
34181,81.2,90.0,90.0,0,1,7,0,NULL
36063,65.6,75.0,70.0,4,1,52,47,-98.56666666666666
24287,0,NULL,NULL,NULL,NULL,0.0,0.0,NULL
35742,93.7,90.0,90.0,4,1,93,0,-26.966666666666665
35279,93.7,100.0,100.0,4,1,93,23,-74.0
33478,NULL,NULL,NULL,NULL,1,0,0,NULL
35270,75,100.0,100.0,4,1,93,0,-75.81666666666666
35271,84.4,90.0,90.0,2,0,30,6,-0.55
35277,90.6,100.0,100.0,4,1,93,93,-72.3
35275,90.6,85.0,85.0,0,0,93,0,-47.016666666666666
34612,68.7,70.0,70.0,1,0,10,0,NULL
34611,87.5,80.0,80.0,1,1,0,0,NULL
34610,50,70.0,70.0,2,0,15,5,NULL
34617,84.4,75.0,75.0,1,NULL,0.0,0.0,NULL
34616,50,80.0,80.0,0,NULL,0.0,0.0,NULL
34614,84.4,80.0,80.0,0,NULL,0.0,0.0,NULL
34618,78.1,92.0,78.0,1,0,24,0,18.866666666666667
36235,78.1,100.0,100.0,4,1,93,93,-67.21666666666667
36231,90.6,90.0,90.0,0,1,12,0,NULL
36109,90.6,100.0,100.0,0,NULL,0.0,0.0,NULL
36234,84.4,100.0,100.0,3,1,35,0,-2.1666666666666665
36088,96.9,80.0,80.0,0,1,23,0,-3.533333333333333
36108,93.7,80.0,80.0,0,1,19,5,NULL
36233,90.6,80.0,80.0,4,1,92,0,-31.35
35951,93.7,70.0,70.0,4,1,93,70,-216.16666666666666
36185,25,NULL,NULL,NULL,0,7,0,NULL
36232,71.9,100.0,100.0,2,0,23,0,-53.3
35698,65.6,88.0,88.0,1,NULL,0.0,0.0,NULL
35974,84.4,100.0,100.0,4,0,0,0,NULL
35753,59.4,80.0,80.0,3,1,47,0,-2.75
36029,62.5,100.0,100.0,1,1,50,3,-4.033333333333333
35878,78.1,90.0,90.0,0,1,69,0,-2.8
35754,59.4,NULL,NULL,NULL,0,77,0,-22.783333333333335
35757,96.9,80.0,80.0,2,1,23,0,-4.066666666666666
35756,93.7,75.0,75.0,4,0,93,23,-44.71666666666667
35690,84.4,80.0,80.0,2,1,91,0,-53.733333333333334
35691,87.5,100.0,100.0,3,0,27,0,-1.85
35692,93.7,70.0,70.0,0,1,80,0,-44.15
35693,96.9,100.0,100.0,4,0,4,0,NULL
35979,90.6,70.0,70.0,2,0,7,0,NULL
35695,59.4,NULL,NULL,NULL,0,93,0,-23.2
35696,75,80.0,80.0,4,1,93,0,-2.283333333333333
35697,87.5,80.0,80.0,4,0,93,93,-149.9
35470,81.2,60.0,60.0,4,1,93,0,-51.9
35472,87.5,90.0,90.0,1,1,1,0,NULL
35474,62.5,70.0,70.0,2,0,47,0,-2.433333333333333
35475,68.7,NULL,NULL,NULL,0,4,0,NULL
35476,59.4,70.0,70.0,2,0,29,5,-25.183333333333334
33605,59.4,NULL,NULL,NULL,0,61,0,-2.1166666666666667
35479,100,85.0,85.0,0,0,23,0,-48.36666666666667
36184,81.2,75.0,75.0,1,NULL,0.0,0.0,NULL
35579,100,100.0,100.0,1,1,7,0,NULL
34460,68.7,70.0,70.0,0,NULL,0.0,0.0,NULL
35674,90.6,69.0,69.0,NULL,0,21,0,-0.43333333333333335
35675,90.6,100.0,100.0,4,0,93,0,-30.466666666666665
35672,90.6,60.0,60.0,4,1,87,0,-40.56666666666667
34977,84.4,85.0,85.0,2,1,13,0,NULL
35670,75,80.0,80.0,1,0,44,10,0.6333333333333333
35671,81.2,75.0,75.0,4,1,88,0,-46.31666666666667
35571,71.9,NULL,NULL,NULL,NULL,0.0,0.0,NULL
35570,93.7,85.0,85.0,4,1,93,0,-119.9
35573,71.9,85.0,85.0,2,1,15,0,NULL
35572,100,90.0,90.0,1,1,92,0,-7.55
35575,93.7,100.0,100.0,2,1,21,0,-3.05
35574,87.5,87.0,87.0,0,1,36,0,-1.6166666666666667
35577,84.4,87.0,87.0,0,NULL,0.0,0.0,NULL
35576,96.9,80.0,80.0,0,1,53,0,-6.816666666666666
35089,93.7,90.0,90.0,1,0,73,60,-125.68333333333334
36102,53.1,70.0,70.0,1,NULL,0.0,0.0,NULL
36136,93.7,NULL,NULL,NULL,0,2,0,NULL
35862,46.9,60.0,60.0,0,0,3,0,NULL
35584,56.2,75.0,75.0,4,0,13,0,NULL
33770,78.1,80.0,80.0,2,0,44,0,-3.55
36154,78.1,100.0,100.0,0,0,19,0,NULL
35406,81.2,90.0,90.0,1,0,62,21,-74.33333333333333
35580,96.9,75.0,75.0,0,1,1,0,NULL
35581,90.6,70.0,70.0,3,1,50,0,-5.9
35582,46.9,20.0,20.0,2,NULL,0.0,0.0,NULL
35583,93.7,85.0,85.0,1,0,13,0,NULL
35612,93.7,98.0,100.0,4,0,93,2,-7.4
35746,81.2,90.0,90.0,2,0,32,0,-0.6166666666666667
35465,65.6,70.0,80.0,2,0,24,24,-47.8
36106,46.9,85.0,85.0,2,0,8,8,NULL
35588,90.6,70.0,70.0,2,1,55,0,-99.81666666666666
35589,65.6,70.0,70.0,1,1,50,0,-3.85
36158,0,NULL,NULL,NULL,NULL,0.0,0.0,NULL
36159,93.7,0.0,100.0,2,0,1,0,NULL
29880,65.6,NULL,NULL,NULL,NULL,0.0,0.0,NULL
33852,75,NULL,NULL,NULL,1,1,0,NULL
33505,62.5,70.0,70.0,1,1,1,0,NULL
34274,NULL,NULL,NULL,NULL,NULL,0.0,0.0,NULL
34271,NULL,NULL,NULL,NULL,NULL,0.0,0.0,NULL
34270,NULL,NULL,NULL,NULL,NULL,0.0,0.0,NULL
34273,NULL,NULL,NULL,NULL,NULL,0.0,0.0,NULL
33697,100,80.0,80.0,3,0,93,23,-48.233333333333334
33695,NULL,NULL,NULL,NULL,NULL,0.0,0.0,NULL
35747,90.6,90.0,90.0,4,1,92,92,-262.9166666666667
35909,87.5,NULL,NULL,1,0,2,0,NULL
35409,59.4,70.0,70.0,2,0,27,6,-1.1666666666666667
35408,65.6,75.0,75.0,2,1,47,34,-27.616666666666667
36039,93.7,90.0,90.0,2,1,13,0,NULL
36038,78.1,90.0,85.0,0,1,5,0,NULL
2224,NULL,NULL,NULL,NULL,NULL,0.0,0.0,NULL
35803,87.5,NULL,NULL,NULL,0,93,0,-68.46666666666667
34674,78.1,80.0,80.0,2,0,21,13,-10.1
35676,93.7,70.0,70.0,4,1,87,74,-160.33333333333334
30155,71.9,75.0,75.0,4,1,93,0,-70.95
35727,53.1,62.0,62.0,4,0,93,0,-3.1666666666666665
33598,100,100.0,100.0,1,1,42,24,-19.483333333333334
36212,81.2,85.0,85.0,2,1,47,23,-47.1
35732,84.4,90.0,90.0,0,NULL,0.0,0.0,NULL
33594,84.4,90.0,90.0,1,0,38,20,-32.4
30255,NULL,NULL,NULL,NULL,1,0,0,NULL
35086,100,80.0,80.0,3,0,76,0,-65.78333333333333
35866,56.2,NULL,NULL,NULL,1,0,0,NULL
31287,0,NULL,NULL,NULL,NULL,0.0,0.0,NULL
36188,53.1,50.0,50.0,0,1,18,0,NULL
35689,90.6,NULL,NULL,NULL,NULL,0.0,0.0,NULL
35152,93.7,100.0,100.0,1,1,25,23,-21.166666666666668
35864,96.9,95.0,95.0,1,1,14,0,NULL
35626,84.4,100.0,100.0,4,0,93,93,-140.75
35677,75,80.0,80.0,1,NULL,0.0,0.0,NULL
35687,81.2,73.0,73.0,1,1,58,0,-6.183333333333334
36003,100,NULL,NULL,NULL,NULL,0.0,0.0,NULL
35833,46.9,95.0,95.0,1,0,23,0,-1.1333333333333333
36030,40.6,NULL,NULL,NULL,NULL,0.0,0.0,NULL
34384,50,70.0,70.0,4,0,93,70,-78.8
36054,84.4,80.0,80.0,4,1,93,47,-26.983333333333334
36219,78.1,85.0,85.0,3,1,90,0,-6.25
34486,68.7,80.0,80.0,1,0,93,0,-26.783333333333335
36279,81.2,70.0,90.0,1,0,60,0,-1.2
35868,90.6,100.0,100.0,1,0,23,0,-0.85
34528,90.6,90.0,90.0,3,0,1,0,NULL
35591,NULL,NULL,NULL,NULL,NULL,0.0,0.0,NULL
36272,68.7,70.0,70.0,2,0,73,20,-18.783333333333335
36271,65.6,70.0,80.0,0,1,19,0,NULL
36270,65.6,80.0,80.0,2,1,31,29,-57.9
36276,46.9,60.0,60.0,2,1,10,0,NULL
36275,81.2,70.0,70.0,1,1,28,3,-3.65
35729,100,75.0,75.0,1,NULL,0.0,0.0,NULL
36196,100,88.0,88.0,0,1,20,0,-8.483333333333333
36191,40.6,200.0,200.0,4,NULL,0.0,0.0,NULL
34479,93.7,68.0,68.0,1,0,24,4,-3.566666666666667
34478,71.9,85.0,85.0,2,0,61,47,-140.38333333333333
34477,40.6,75.0,75.0,2,0,39,10,-7.116666666666666
34476,62.5,65.0,65.0,0,1,28,0,-1.6333333333333333
34475,93.7,90.0,90.0,2,0,90,0,-22.016666666666666
34474,87.5,95.0,95.0,3,1,92,69,-155.58333333333334
34473,90.6,100.0,100.0,4,0,18,0,NULL
34470,71.9,NULL,NULL,NULL,0,93,0,-120.28333333333333
34656,43.7,NULL,NULL,NULL,NULL,0.0,0.0,NULL
34655,71.9,80.0,80.0,3,1,69,0,-9.916666666666666
34654,NULL,NULL,NULL,NULL,NULL,0.0,0.0,NULL
34480,62.5,NULL,NULL,NULL,1,14,0,NULL
34651,81.2,100.0,100.0,4,0,53,53,-42.25
34650,87.5,90.0,90.0,3,1,93,0,-3.3666666666666667
35706,78.1,90.0,100.0,2,0,93,35,-22.833333333333332
35707,56.2,80.0,80.0,2,0,41,0,-2.683333333333333
35704,37.5,45.0,45.0,2,0,23,0,-3.216666666666667
35705,75,NULL,NULL,NULL,1,70,0,-46.06666666666667
35703,50,100.0,100.0,2,1,23,13,-24.2
34659,62.5,NULL,NULL,NULL,1,26,0,-1.6833333333333333
34495,90.6,100.0,100.0,3,1,23,0,-2.2333333333333334
34494,87.5,99.0,100.0,3,0,21,0,-2.033333333333333
34497,53.1,NULL,NULL,NULL,1,14,0,NULL
36182,90.6,100.0,100.0,3,0,16,0,NULL
34491,84.4,100.0,100.0,4,0,93,0,-48.36666666666667
34490,87.5,100.0,100.0,2,0,39,39,-76.31666666666666
34493,59.4,85.0,85.0,3,1,7,0,NULL
36186,81.2,80.0,80.0,0,0,32,0,-2.3333333333333335
36189,71.9,70.0,70.0,4,0,47,0,-27.1
